"","col_no","trt","time_point","date","days","q_status","q_event","pattern","notes","est_bee_num_by_wt","est_bee_num_by_wt_floor","mites_recov_3_washes","bees_without_mites","phor2","infest_200","dwv_num_sides_obs","dwv_tf","cdb_num_sides_obs","bees","wk_cells","dr_capbrd_cells_num","phoretic_mites_num_estimate","wk_cells_infested_estimate","dr_cells_infested_estimate","mites_total_estimate","cap_brd_indiv","indiv_total","indiv_adult_pct","indiv_capbrd_pct","bees_frames","wk_frames","honey_frames","pollen_frames","fob_at_all","fob_top_bip","pre_pattern","pre_phor2","pre_infest_200","pre_mites_tot","pre_bees","pre_bees_frames","pre_wk_cells","pre_wk_frames","pre_honey_frames","pre_pollen_frames"
"47","C15","Apivar",1,"19-Sep","0","QS","",2.5,"",316.6,316,51,265,16.1086544535692,12,0,0,0,5315.63,12122,0,856,727,NA,1583,12122,17437.63,30.4836723797901,69.5163276202099,2.1875,1.8125,3.175,NA,NA,NA,2.5,16.1086544535692,12,1583,5315.63,2.1875,12122,1.8125,3.175,NA
"48","D10","Apiguard_Api",10,"3-Oct","10","QR","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8443.6,0,NA,NA,NA,NA,8443.6,NA,NA,NA,NA,1.2625,NA,NA,NA,NA,3,5.35601764335224,23,2620,8899.88,3.6625,18642.8,2.7875,3.39,0.275
"49","D20","Apivar",10,"3-Oct","10","QR","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9948.4,0,NA,NA,NA,NA,9948.4,NA,NA,NA,NA,1.4875,NA,NA,NA,NA,3,8.34403080872914,28,3447,9902.25,4.075,18726.4,2.8,3.925,0.625
"50","D15","AEC",10,"3-Oct","10","QS-B","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4681.6,0,NA,NA,NA,NA,4681.6,NA,NA,NA,NA,0.7,NA,NA,NA,NA,3,5.48095368594135,29,3308,10831.73,4.4575,18726.4,2.8,4.95,0.375
"51","D16","AEC",10,"3-Oct","10","QR","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13041.6,0,NA,NA,NA,NA,13041.6,NA,NA,NA,NA,1.95,NA,NA,NA,NA,3,4.44909709500131,27,3882,12259.35,5.045,23324.4,3.4875,3.1,0.275
"52","D5","Apivar",10,"3-Oct","10",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8025.6,0,NA,NA,NA,NA,8025.6,NA,NA,NA,NA,1.2,NA,NA,NA,NA,2.75,16.3162849074365,42,6208,10114.88,4.1625,20565.6,3.075,3.95,1.35
"53","D6","Apiguard_Api",10,"3-Oct","10","QR","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10032,0,NA,NA,NA,NA,10032,NA,NA,NA,NA,1.5,NA,NA,NA,NA,2.75,4.88698839340257,22,3032,10600.88,4.3625,22404.8,3.35,4,0.365
"54","9","Apivar",10,"3-Oct","10","QR","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13292.4,0,NA,NA,NA,NA,13292.4,NA,NA,NA,NA,1.9875,NA,NA,NA,NA,3,0.651465798045603,16,1896,17010,7,22321.2,3.3375,4.025,1.05
"55","D7","Apivar",10,"3-Oct","10","QR","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6771.6,0,NA,NA,NA,NA,6771.6,NA,NA,NA,NA,1.0125,NA,NA,NA,NA,1.75,6.36389933468325,62,4193,6955.88,2.8625,11453.2,1.7125,2.65,2.175
"56","D8","Apivar",10,"3-Oct","10","QR","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5601.2,0,NA,NA,NA,NA,5601.2,NA,NA,NA,NA,0.8375,NA,NA,NA,NA,3.5,10.862818125388,22,4315,14198.49,5.843,20174.35,3.0165,2.925,0.065
"57","RC1","Apivar",10,"3-Oct","10","QS-B","",NA,"Laying well",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1922.8,0,NA,NA,NA,NA,1922.8,NA,NA,NA,NA,0.2875,NA,NA,NA,NA,2,22.6582574164915,58,6048,7543.94,3.1045,14964.4,2.2375,3.915,1.09
"58","D11","Apivar",10,"3-Oct","10","QS-B","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4347.2,0,NA,NA,NA,NA,4347.2,NA,NA,NA,NA,0.65,NA,NA,NA,NA,3,17.3936312550174,38,5923,9446.63,3.8875,21819.6,3.2625,5.075,0.15
"59","D25","Apivar",10,"3-Oct","10","QS-B","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11035.2,0,NA,NA,NA,NA,11035.2,NA,NA,NA,NA,1.65,NA,NA,NA,NA,2,8.10961968680089,16,2084,7563.38,3.1125,18392,2.75,4.65,0.075
"60","D13","Apiguard_Api",10,"3-Oct","10","QR","",NA,"Weak-ish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2675.2,0,NA,NA,NA,NA,2675.2,NA,NA,NA,NA,0.4,NA,NA,NA,NA,2.5,26.2357414448669,44,5308,5862.38,2.4125,17138,2.5625,4.65,0.675
"61","N5","AEC",10,"3-Oct","10","QS-MP","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7942,0,NA,NA,NA,NA,7942,NA,NA,NA,NA,1.1875,NA,NA,NA,NA,2.5,4.92264416315049,7,787,5771.25,2.375,14379.2,2.15,3.625,0.075
"62","N68","AEC",10,"3-Oct","10","QR","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10951.6,0,NA,NA,NA,NA,10951.6,NA,NA,NA,NA,1.6375,NA,NA,NA,NA,2,11.0941086457536,25,2734,10995.75,4.525,12122,1.8125,3.75,0.215
"63","D3","Apiguard_Api",10,"3-Oct","10","QR","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5601.2,0,NA,NA,NA,NA,5601.2,NA,NA,NA,NA,0.8375,NA,NA,NA,NA,2,12.388162422574,70,3649,6773.63,2.7875,7189.6,1.075,3.49,0.59
"64","2","Apiguard_Api",10,"3-Oct","10","QS-B","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6270,0,NA,NA,NA,NA,6270,NA,NA,NA,NA,0.9375,NA,NA,NA,NA,4,2.27100681302044,2,410,11329.88,4.6625,15298.8,2.2875,5.875,1.175
"65","D17","Apiguard_Api",10,"3-Oct","10","QR","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5099.6,0,NA,NA,NA,NA,5099.6,NA,NA,NA,NA,0.7625,NA,NA,NA,NA,2,3.13390313390313,10,1912,16463.25,6.775,27922.4,4.175,4.05,0.525
"66","D19","Apiguard_Api",10,"3-Oct","10","QR","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4681.6,0,NA,NA,NA,NA,4681.6,NA,NA,NA,NA,0.7,NA,NA,NA,NA,2,10.3932584269663,30,4269,11876.63,4.8875,20231.2,3.025,4.515,0.125
"67","8","Apiguard_Api",10,"3-Oct","10","QR","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3176.8,0,NA,NA,NA,NA,3176.8,NA,NA,NA,NA,0.475,NA,NA,NA,NA,3,8.78048780487805,8,2008,11937.38,4.9125,23993.2,3.5875,5.05,NA
"68","L75","Apiguard_Api",10,"3-Oct","10","QS-B","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4263.6,0,NA,NA,NA,NA,4263.6,NA,NA,NA,NA,0.6375,NA,NA,NA,NA,3,7.51515151515152,18,2276,11664,4.8,15549.6,2.325,6.4,0.9
"69","D21","Apivar",10,"3-Oct","10","QR","",NA,"Strong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15716.8,539,NA,NA,NA,NA,16255.8,NA,NA,NA,NA,2.35,NA,NA,NA,NA,3.5,2.61932479627474,11,1605,13365,5.5,22822.8,3.4125,3.675,0.215
"70","D22","AEC",10,"3-Oct","10","QS-B ReMP","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2424.4,0,NA,NA,NA,NA,2424.4,NA,NA,NA,NA,0.3625,NA,NA,NA,NA,2,22.6330889384763,46,5241,5971.73,2.4575,16218.4,2.425,4.7,0.425
